rowNumber,predictedValues
170,No Failure
171,No Failure
172,No Failure
173,No Failure
174,No Failure
175,No Failure
176,No Failure
177,No Failure
178,No Failure
179,No Failure
180,No Failure
181,No Failure
182,No Failure
183,No Failure
184,No Failure
185,No Failure
186,No Failure
187,No Failure
188,No Failure
189,No Failure
190,No Failure
191,No Failure
192,No Failure
193,No Failure
194,No Failure
195,No Failure
196,No Failure
197,No Failure
198,No Failure
199,No Failure
200,No Failure
201,No Failure
202,No Failure
203,No Failure
204,No Failure
205,No Failure
206,No Failure
207,No Failure
208,No Failure
209,No Failure
210,No Failure
211,No Failure
212,No Failure
213,No Failure
214,No Failure
215,No Failure
216,No Failure
217,No Failure
218,No Failure
219,No Failure
220,No Failure
221,No Failure
222,No Failure
223,No Failure
224,No Failure
225,No Failure
226,No Failure
227,No Failure
228,No Failure
229,No Failure
230,No Failure
231,No Failure
232,No Failure
233,No Failure
234,No Failure
235,No Failure
236,No Failure
237,No Failure
238,No Failure
239,No Failure
240,No Failure
241,No Failure
242,No Failure
243,No Failure
244,No Failure
245,No Failure
246,No Failure
247,No Failure
248,No Failure
249,No Failure
250,No Failure
251,No Failure
252,No Failure
253,No Failure
254,No Failure
255,No Failure
256,No Failure
257,No Failure
258,No Failure
259,No Failure
260,Heat Dissipation Failure
261,No Failure
262,No Failure
263,No Failure
264,No Failure
265,No Failure
266,No Failure
267,No Failure
268,No Failure
269,No Failure
270,No Failure
271,No Failure
272,No Failure
273,No Failure
274,No Failure
275,No Failure
276,No Failure
277,No Failure
278,No Failure
279,No Failure
280,No Failure
281,No Failure
282,No Failure
283,No Failure
284,No Failure
285,No Failure
286,No Failure
287,No Failure
288,No Failure
289,No Failure
290,No Failure
291,No Failure
292,No Failure
293,No Failure
294,No Failure
295,No Failure
296,No Failure
297,No Failure
298,No Failure
299,No Failure
300,No Failure
301,No Failure
302,No Failure
303,No Failure
304,No Failure
305,No Failure
306,No Failure
307,No Failure
308,No Failure
309,No Failure
310,No Failure
311,No Failure
312,No Failure
313,No Failure
314,No Failure
315,No Failure
316,No Failure
317,No Failure
318,No Failure
319,No Failure
320,No Failure
321,No Failure
322,No Failure
323,No Failure
324,No Failure
325,No Failure
326,No Failure
327,No Failure
328,No Failure
329,No Failure
330,No Failure
331,No Failure
332,No Failure
333,No Failure
334,No Failure
335,No Failure
336,No Failure
337,No Failure
338,No Failure
339,No Failure
340,No Failure
341,No Failure
342,No Failure
343,No Failure
344,No Failure
345,No Failure
346,No Failure
347,No Failure
348,No Failure
349,No Failure
350,No Failure
351,No Failure
352,No Failure
353,No Failure
354,No Failure
355,No Failure
356,No Failure
357,No Failure
358,No Failure
359,No Failure
360,No Failure
361,No Failure
362,No Failure
363,Heat Dissipation Failure
364,No Failure
365,No Failure
366,No Failure
367,No Failure
368,No Failure
369,No Failure
370,No Failure
371,No Failure
372,No Failure
373,No Failure
374,No Failure
375,No Failure
376,No Failure
377,No Failure
378,No Failure
379,No Failure
380,No Failure
381,No Failure
382,No Failure
383,No Failure
384,No Failure
385,No Failure
386,No Failure
387,No Failure
388,No Failure
389,No Failure
390,Power Failure
391,No Failure
392,No Failure
393,No Failure
394,No Failure
395,No Failure
396,No Failure
397,No Failure
398,No Failure
399,No Failure
400,No Failure
401,No Failure
402,No Failure
403,No Failure
404,No Failure
405,No Failure
406,No Failure
407,No Failure
408,No Failure
409,No Failure
410,No Failure
411,No Failure
412,No Failure
413,No Failure
414,No Failure
415,No Failure
416,No Failure
417,No Failure
418,No Failure
419,No Failure
420,No Failure
421,No Failure
422,No Failure
423,No Failure
424,Heat Dissipation Failure
425,No Failure
426,No Failure
427,No Failure
428,No Failure
429,No Failure
430,No Failure
431,No Failure
432,No Failure
433,No Failure
434,No Failure
435,No Failure
436,No Failure
437,No Failure
438,No Failure
439,No Failure
440,No Failure
441,No Failure
442,No Failure
443,No Failure
444,No Failure
445,No Failure
446,No Failure
447,No Failure
448,No Failure
449,No Failure
450,No Failure
451,No Failure
452,Power Failure
453,No Failure
454,No Failure
455,No Failure
456,No Failure
457,No Failure
458,No Failure
459,No Failure
460,No Failure
461,No Failure
462,No Failure
463,No Failure
464,No Failure
465,No Failure
466,No Failure
467,No Failure
468,No Failure
469,No Failure
470,No Failure
471,No Failure
472,No Failure
473,No Failure
474,No Failure
475,No Failure
476,No Failure
477,No Failure
478,No Failure
479,No Failure
480,No Failure
481,No Failure
482,No Failure
483,No Failure
484,No Failure
485,No Failure
486,No Failure
487,No Failure
488,No Failure
489,No Failure
490,No Failure
491,No Failure
492,No Failure
493,No Failure
494,No Failure
495,Heat Dissipation Failure
496,No Failure
497,No Failure
498,No Failure
499,No Failure
500,Overstrain Failure
501,No Failure
502,No Failure
503,No Failure
504,No Failure
505,No Failure
506,No Failure
507,No Failure
508,No Failure
509,No Failure
510,No Failure
511,No Failure
512,No Failure
513,No Failure
514,No Failure
515,No Failure
516,No Failure
517,No Failure
518,No Failure
519,No Failure
520,No Failure
521,No Failure
522,No Failure
523,No Failure
524,No Failure
525,No Failure
526,No Failure
527,No Failure
528,No Failure
529,No Failure
530,No Failure
531,No Failure
532,No Failure
533,No Failure
534,No Failure
535,No Failure
536,No Failure
537,No Failure
538,No Failure
539,No Failure
540,No Failure
541,No Failure
542,No Failure
543,No Failure
544,No Failure
545,No Failure
546,No Failure
547,No Failure
548,No Failure
549,No Failure
550,No Failure
551,Power Failure
552,No Failure
553,No Failure
554,No Failure
555,Heat Dissipation Failure
556,No Failure
557,No Failure
558,No Failure
559,No Failure
560,No Failure
561,No Failure
562,Power Failure
563,No Failure
564,No Failure
565,No Failure
566,No Failure
567,No Failure
568,No Failure
569,No Failure
570,No Failure
571,No Failure
572,No Failure
573,No Failure
574,No Failure
575,No Failure
576,No Failure
577,No Failure
578,No Failure
579,No Failure
580,No Failure
581,No Failure
582,No Failure
583,No Failure
584,No Failure
585,No Failure
586,No Failure
587,No Failure
588,No Failure
589,No Failure
590,No Failure
591,No Failure
592,No Failure
593,No Failure
594,No Failure
595,No Failure
596,No Failure
597,No Failure
598,No Failure
599,Heat Dissipation Failure
600,No Failure
601,No Failure
602,No Failure
603,No Failure
604,No Failure
605,No Failure
606,No Failure
607,No Failure
608,No Failure
609,No Failure
610,No Failure
611,No Failure
612,No Failure
613,No Failure
614,No Failure
615,No Failure
616,No Failure
617,No Failure
618,No Failure
619,No Failure
620,No Failure
621,No Failure
622,No Failure
623,No Failure
624,No Failure
625,No Failure
626,No Failure
627,No Failure
628,No Failure
629,No Failure
630,No Failure
631,No Failure
632,No Failure
633,No Failure
634,No Failure
635,No Failure
636,No Failure
637,No Failure
638,No Failure
639,No Failure
640,No Failure
641,No Failure
642,No Failure
643,No Failure
644,No Failure
645,No Failure
646,No Failure
647,Power Failure
648,No Failure
649,No Failure
650,No Failure
651,No Failure
652,No Failure
653,No Failure
654,No Failure
655,No Failure
656,No Failure
657,No Failure
658,No Failure
659,No Failure
660,No Failure
661,No Failure
662,No Failure
663,Power Failure
664,No Failure
665,No Failure
666,No Failure
667,No Failure
668,No Failure
669,No Failure
670,No Failure
671,No Failure
672,No Failure
673,No Failure
674,No Failure
675,No Failure
676,No Failure
677,No Failure
678,No Failure
679,Heat Dissipation Failure
680,No Failure
681,No Failure
682,No Failure
683,No Failure
684,No Failure
685,No Failure
686,No Failure
687,No Failure
688,No Failure
689,No Failure
690,No Failure
691,No Failure
692,No Failure
693,No Failure
694,No Failure
695,No Failure
696,No Failure
697,No Failure
698,No Failure
699,No Failure
700,Heat Dissipation Failure
701,No Failure
702,No Failure
703,No Failure
704,No Failure
705,No Failure
706,No Failure
707,No Failure
708,No Failure
709,No Failure
710,No Failure
711,No Failure
712,No Failure
713,No Failure
714,No Failure
715,No Failure
716,No Failure
717,No Failure
718,No Failure
719,No Failure
720,No Failure
721,No Failure
722,No Failure
723,No Failure
724,No Failure
725,No Failure
726,No Failure
727,No Failure
728,No Failure
729,No Failure
730,No Failure
731,No Failure
732,No Failure
733,No Failure
734,No Failure
735,No Failure
736,No Failure
737,No Failure
738,No Failure
739,No Failure
740,No Failure
741,No Failure
742,No Failure
743,No Failure
744,No Failure
745,No Failure
746,No Failure
747,No Failure
748,No Failure
749,No Failure
750,Power Failure
751,No Failure
752,No Failure
753,No Failure
754,No Failure
755,No Failure
756,No Failure
757,No Failure
758,No Failure
759,No Failure
760,No Failure
761,No Failure
762,No Failure
763,No Failure
764,No Failure
765,No Failure
766,No Failure
767,No Failure
768,No Failure
769,No Failure
770,No Failure
771,No Failure
772,No Failure
773,Heat Dissipation Failure
774,No Failure
775,No Failure
776,No Failure
777,No Failure
778,No Failure
779,No Failure
780,No Failure
781,No Failure
782,No Failure
783,No Failure
784,No Failure
785,No Failure
786,No Failure
787,No Failure
788,No Failure
789,No Failure
790,No Failure
791,No Failure
792,Overstrain Failure
793,No Failure
794,No Failure
795,No Failure
796,No Failure
797,No Failure
798,No Failure
799,No Failure
800,No Failure
801,No Failure
802,No Failure
803,No Failure
804,No Failure
805,No Failure
806,No Failure
807,No Failure
808,No Failure
809,No Failure
810,No Failure
811,No Failure
812,No Failure
813,No Failure
814,No Failure
815,No Failure
816,No Failure
817,No Failure
818,No Failure
819,No Failure
820,Tool Wear Failure
821,No Failure
822,No Failure
823,No Failure
824,No Failure
825,No Failure
826,No Failure
827,No Failure
828,No Failure
829,No Failure
830,No Failure
831,No Failure
832,No Failure
833,No Failure
834,No Failure
835,No Failure
836,No Failure
837,No Failure
838,No Failure
839,No Failure
840,No Failure
841,No Failure
842,No Failure
843,No Failure
844,No Failure
845,No Failure
846,No Failure
847,No Failure
848,No Failure
849,No Failure
850,No Failure
851,No Failure
852,No Failure
853,No Failure
854,No Failure
855,No Failure
856,No Failure
857,No Failure
858,No Failure
859,No Failure
860,No Failure
861,No Failure
862,No Failure
863,No Failure
864,No Failure
865,No Failure
866,No Failure
867,No Failure
868,No Failure
869,No Failure
870,No Failure
871,No Failure
872,No Failure
873,No Failure
874,No Failure
875,No Failure
876,No Failure
877,No Failure
878,No Failure
879,No Failure
880,No Failure
881,No Failure
882,No Failure
883,No Failure
884,No Failure
885,No Failure
886,No Failure
887,No Failure
888,No Failure
889,No Failure
890,No Failure
891,Heat Dissipation Failure
892,No Failure
893,No Failure
894,No Failure
895,No Failure
896,No Failure
897,No Failure
898,No Failure
899,No Failure
900,No Failure
901,Tool Wear Failure
902,No Failure
903,Tool Wear Failure
904,No Failure
905,No Failure
906,No Failure
907,No Failure
908,No Failure
909,No Failure
910,No Failure
911,No Failure
912,No Failure
913,No Failure
914,No Failure
915,No Failure
916,Heat Dissipation Failure
917,No Failure
918,No Failure
919,No Failure
920,No Failure
921,No Failure
922,No Failure
923,No Failure
924,No Failure
925,No Failure
926,No Failure
927,No Failure
928,No Failure
929,No Failure
930,No Failure
931,No Failure
932,No Failure
933,Heat Dissipation Failure
934,No Failure
935,No Failure
936,No Failure
937,No Failure
938,No Failure
939,No Failure
940,No Failure
941,No Failure
942,No Failure
943,No Failure
944,No Failure
945,Overstrain Failure
946,No Failure
947,No Failure
948,Heat Dissipation Failure
949,No Failure
950,No Failure
951,No Failure
952,No Failure
953,No Failure
954,No Failure
955,No Failure
956,No Failure
957,No Failure
958,No Failure
959,No Failure
960,No Failure
961,Power Failure
962,No Failure
963,No Failure
964,No Failure
965,No Failure
966,No Failure
967,No Failure
968,No Failure
969,No Failure
970,No Failure
971,No Failure
972,No Failure
973,No Failure
974,No Failure
975,No Failure
976,No Failure
977,No Failure
978,No Failure
979,No Failure
980,No Failure
981,No Failure
982,No Failure
983,No Failure
984,No Failure
985,No Failure
986,No Failure
987,No Failure
988,No Failure
989,No Failure
990,No Failure
991,No Failure
992,No Failure
993,No Failure
994,No Failure
995,No Failure
996,No Failure
997,No Failure
998,Power Failure
999,No Failure
1000,No Failure
1001,No Failure
1002,No Failure
1003,No Failure
1004,No Failure
1005,No Failure
1006,No Failure
1007,No Failure
1008,No Failure
1009,No Failure
1010,No Failure
1011,No Failure
1012,No Failure
1013,No Failure
1014,No Failure
1015,No Failure
1016,No Failure
1017,No Failure
1018,No Failure
1019,No Failure
1020,No Failure
1021,Heat Dissipation Failure
1022,No Failure
1023,No Failure
1024,No Failure
1025,No Failure
1026,No Failure
1027,No Failure
1028,No Failure
1029,No Failure
1030,No Failure
1031,No Failure
1032,No Failure
1033,No Failure
1034,No Failure
1035,No Failure
1036,No Failure
1037,No Failure
1038,No Failure
1039,No Failure
1040,No Failure
1041,No Failure
1042,No Failure
1043,No Failure
1044,No Failure
1045,No Failure
1046,No Failure
1047,Heat Dissipation Failure
1048,No Failure
1049,No Failure
1050,No Failure
1051,No Failure
1052,No Failure
1053,No Failure
1054,No Failure
1055,No Failure
1056,No Failure
1057,No Failure
1058,No Failure
1059,No Failure
1060,No Failure
1061,No Failure
1062,No Failure
1063,No Failure
1064,No Failure
1065,No Failure
1066,No Failure
1067,No Failure
1068,No Failure
1069,No Failure
1070,No Failure
1071,No Failure
1072,No Failure
1073,No Failure
1074,No Failure
1075,No Failure
1076,No Failure
1077,No Failure
1078,No Failure
1079,No Failure
1080,No Failure
1081,No Failure
1082,No Failure
1083,Overstrain Failure
1084,No Failure
1085,No Failure
1086,No Failure
1087,No Failure
1088,No Failure
1089,No Failure
1090,No Failure
1091,No Failure
1092,No Failure
1093,No Failure
1094,No Failure
1095,Power Failure
1096,No Failure
1097,No Failure
1098,No Failure
1099,No Failure
1100,No Failure
1101,No Failure
1102,No Failure
1103,No Failure
1104,No Failure
1105,No Failure
1106,No Failure
1107,No Failure
1108,No Failure
1109,No Failure
1110,No Failure
1111,No Failure
1112,No Failure
1113,No Failure
1114,No Failure
1115,No Failure
1116,No Failure
1117,No Failure
1118,Heat Dissipation Failure
1119,No Failure
1120,No Failure
1121,No Failure
1122,No Failure
1123,No Failure
1124,No Failure
1125,No Failure
1126,No Failure
1127,No Failure
1128,No Failure
1129,No Failure
1130,No Failure
1131,No Failure
1132,No Failure
1133,No Failure
1134,No Failure
1135,Heat Dissipation Failure
1136,No Failure
1137,No Failure
1138,No Failure
1139,No Failure
1140,No Failure
1141,No Failure
1142,No Failure
1143,No Failure
1144,No Failure
1145,No Failure
1146,No Failure
1147,No Failure
1148,No Failure
1149,No Failure
1150,No Failure
1151,No Failure
1152,No Failure
1153,No Failure
1154,No Failure
1155,No Failure
1156,No Failure
1157,No Failure
1158,No Failure
1159,No Failure
1160,No Failure
1161,No Failure
1162,No Failure
1163,No Failure
1164,No Failure
1165,No Failure
1166,No Failure
1167,Overstrain Failure
1168,No Failure
1169,No Failure
1170,No Failure
1171,No Failure
1172,No Failure
1173,No Failure
1174,No Failure
1175,No Failure
1176,No Failure
1177,No Failure
1178,No Failure
1179,No Failure
1180,No Failure
1181,No Failure
1182,No Failure
1183,No Failure
1184,No Failure
1185,No Failure
1186,No Failure
1187,No Failure
1188,No Failure
1189,No Failure
1190,No Failure
1191,No Failure
1192,No Failure
1193,No Failure
1194,No Failure
1195,No Failure
1196,Heat Dissipation Failure
1197,No Failure
1198,No Failure
1199,No Failure
1200,No Failure
1201,No Failure
1202,No Failure
1203,No Failure
1204,No Failure
1205,No Failure
1206,No Failure
1207,No Failure
1208,No Failure
1209,No Failure
1210,No Failure
1211,No Failure
1212,No Failure
1213,No Failure
1214,No Failure
1215,No Failure
1216,No Failure
1217,No Failure
1218,No Failure
1219,No Failure
1220,No Failure
1221,No Failure
1222,No Failure
1223,No Failure
1224,No Failure
1225,No Failure
1226,No Failure
1227,No Failure
1228,No Failure
1229,No Failure
1230,No Failure
1231,No Failure
1232,No Failure
1233,No Failure
1234,No Failure
1235,No Failure
1236,No Failure
1237,No Failure
1238,Overstrain Failure
1239,No Failure
1240,No Failure
1241,No Failure
1242,No Failure
1243,No Failure
1244,No Failure
1245,No Failure
1246,No Failure
1247,No Failure
1248,No Failure
1249,No Failure
1250,No Failure
1251,No Failure
1252,No Failure
1253,No Failure
1254,No Failure
1255,No Failure
1256,No Failure
1257,No Failure
1258,No Failure
1259,No Failure
1260,No Failure
1261,No Failure
1262,No Failure
1263,No Failure
1264,No Failure
1265,No Failure
1266,No Failure
1267,No Failure
1268,No Failure
1269,No Failure
1270,No Failure
1271,Overstrain Failure
1272,No Failure
1273,No Failure
1274,No Failure
1275,No Failure
1276,No Failure
1277,No Failure
1278,No Failure
1279,No Failure
1280,No Failure
1281,No Failure
1282,No Failure
1283,No Failure
1284,No Failure
1285,No Failure
1286,No Failure
1287,No Failure
1288,No Failure
1289,No Failure
1290,No Failure
1291,No Failure
1292,No Failure
1293,No Failure
1294,No Failure
1295,No Failure
1296,Heat Dissipation Failure
1297,No Failure
1298,No Failure
1299,No Failure
1300,No Failure
1301,No Failure
1302,Heat Dissipation Failure
1303,No Failure
1304,No Failure
1305,No Failure
1306,Power Failure
1307,No Failure
1308,No Failure
1309,No Failure
1310,No Failure
1311,No Failure
1312,No Failure
1313,No Failure
1314,No Failure
1315,No Failure
1316,No Failure
1317,No Failure
1318,No Failure
1319,No Failure
1320,No Failure
1321,No Failure
1322,No Failure
1323,No Failure
1324,No Failure
1325,No Failure
1326,No Failure
1327,No Failure
1328,No Failure
1329,No Failure
1330,No Failure
1331,No Failure
1332,No Failure
1333,No Failure
1334,No Failure
1335,No Failure
1336,No Failure
1337,No Failure
1338,Heat Dissipation Failure
1339,No Failure
1340,No Failure
1341,No Failure
1342,No Failure
1343,No Failure
1344,No Failure
1345,No Failure
1346,No Failure
1347,No Failure
1348,No Failure
1349,No Failure
1350,No Failure
1351,No Failure
1352,No Failure
1353,No Failure
1354,No Failure
1355,No Failure
1356,No Failure
1357,No Failure
1358,No Failure
1359,No Failure
1360,No Failure
1361,No Failure
1362,No Failure
1363,No Failure
1364,No Failure
1365,No Failure
1366,No Failure
1367,No Failure
1368,No Failure
1369,Overstrain Failure
1370,No Failure
1371,Heat Dissipation Failure
1372,Overstrain Failure
1373,No Failure
1374,No Failure
1375,No Failure
1376,No Failure
1377,No Failure
1378,No Failure
1379,No Failure
1380,No Failure
1381,No Failure
1382,No Failure
1383,No Failure
1384,No Failure
1385,No Failure
1386,No Failure
1387,Overstrain Failure
1388,No Failure
1389,No Failure
1390,No Failure
1391,No Failure
1392,No Failure
1393,No Failure
1394,No Failure
1395,No Failure
1396,No Failure
1397,No Failure
1398,No Failure
1399,No Failure
1400,No Failure
1401,No Failure
1402,No Failure
1403,No Failure
1404,No Failure
1405,No Failure
1406,No Failure
1407,No Failure
1408,No Failure
1409,No Failure
1410,No Failure
1411,No Failure
1412,No Failure
1413,No Failure
1414,No Failure
1415,No Failure
1416,No Failure
1417,No Failure
1418,No Failure
1419,No Failure
1420,No Failure
1421,No Failure
1422,No Failure
1423,No Failure
1424,Tool Wear Failure
1425,No Failure
1426,No Failure
1427,No Failure
1428,No Failure
1429,No Failure
1430,No Failure
1431,No Failure
1432,No Failure
1433,No Failure
1434,No Failure
1435,No Failure
1436,No Failure
1437,No Failure
1438,No Failure
1439,No Failure
1440,No Failure
1441,Heat Dissipation Failure
1442,No Failure
1443,No Failure
1444,No Failure
1445,No Failure
1446,No Failure
1447,No Failure
1448,No Failure
1449,No Failure
1450,No Failure
1451,No Failure
1452,No Failure
1453,No Failure
1454,No Failure
1455,No Failure
1456,No Failure
1457,No Failure
1458,No Failure
1459,No Failure
1460,No Failure
1461,No Failure
1462,No Failure
1463,No Failure
1464,No Failure
1465,No Failure
1466,No Failure
1467,No Failure
1468,No Failure
1469,No Failure
1470,No Failure
1471,No Failure
1472,No Failure
1473,No Failure
1474,No Failure
1475,No Failure
1476,No Failure
1477,No Failure
1478,No Failure
1479,No Failure
1480,No Failure
1481,No Failure
1482,No Failure
1483,No Failure
1484,No Failure
1485,No Failure
1486,No Failure
1487,No Failure
1488,No Failure
1489,No Failure
1490,No Failure
1491,No Failure
1492,No Failure
1493,No Failure
1494,No Failure
1495,Power Failure
1496,No Failure
1497,No Failure
1498,No Failure
1499,No Failure
1500,No Failure
1501,No Failure
1502,No Failure
1503,No Failure
1504,No Failure
1505,No Failure
1506,No Failure
1507,No Failure
1508,No Failure
1509,No Failure
1510,No Failure
1511,No Failure
1512,No Failure
1513,No Failure
1514,Heat Dissipation Failure
1515,No Failure
1516,No Failure
1517,No Failure
1518,No Failure
1519,No Failure
1520,No Failure
1521,No Failure
1522,No Failure
1523,No Failure
1524,No Failure
1525,No Failure
1526,No Failure
1527,No Failure
1528,No Failure
1529,No Failure
1530,No Failure
1531,No Failure
1532,No Failure
1533,No Failure
1534,No Failure
1535,No Failure
1536,No Failure
1537,No Failure
1538,No Failure
1539,No Failure
1540,No Failure
1541,No Failure
1542,No Failure
1543,No Failure
1544,No Failure
1545,No Failure
1546,No Failure
1547,Tool Wear Failure
1548,No Failure
1549,No Failure
1550,No Failure
1551,No Failure
1552,No Failure
1553,No Failure
1554,No Failure
1555,No Failure
1556,No Failure
1557,No Failure
1558,No Failure
1559,No Failure
1560,No Failure
1561,No Failure
1562,No Failure
1563,No Failure
1564,No Failure
1565,No Failure
1566,No Failure
1567,Heat Dissipation Failure
1568,No Failure
1569,No Failure
1570,No Failure
1571,No Failure
1572,No Failure
1573,No Failure
1574,No Failure
1575,No Failure
1576,No Failure
1577,No Failure
1578,No Failure
1579,No Failure
1580,No Failure
1581,No Failure
1582,No Failure
1583,No Failure
1584,No Failure
1585,No Failure
1586,No Failure
1587,No Failure
1588,No Failure
1589,No Failure
1590,No Failure
1591,No Failure
1592,No Failure
1593,No Failure
1594,No Failure
1595,No Failure
1596,No Failure
1597,Heat Dissipation Failure
1598,No Failure
1599,No Failure
1600,No Failure
1601,No Failure
1602,No Failure
1603,No Failure
1604,No Failure
1605,No Failure
1606,No Failure
1607,No Failure
1608,No Failure
1609,No Failure
1610,Heat Dissipation Failure
1611,No Failure
1612,No Failure
1613,No Failure
1614,No Failure
1615,No Failure
1616,No Failure
1617,No Failure
1618,No Failure
1619,No Failure
1620,No Failure
1621,No Failure
1622,No Failure
1623,No Failure
1624,No Failure
1625,No Failure
1626,No Failure
1627,No Failure
1628,No Failure
1629,No Failure
1630,No Failure
1631,No Failure
1632,No Failure
1633,No Failure
1634,No Failure
1635,No Failure
1636,Power Failure
1637,No Failure
1638,No Failure
1639,No Failure
1640,No Failure
1641,No Failure
1642,No Failure
1643,No Failure
1644,No Failure
1645,Heat Dissipation Failure
1646,No Failure
1647,No Failure
1648,No Failure
1649,No Failure
1650,No Failure
1651,No Failure
1652,No Failure
1653,No Failure
1654,No Failure
1655,No Failure
1656,No Failure
1657,No Failure
1658,No Failure
1659,No Failure
1660,No Failure
1661,No Failure
1662,No Failure
1663,No Failure
1664,No Failure
1665,No Failure
1666,No Failure
1667,No Failure
1668,No Failure
1669,No Failure
1670,No Failure
1671,No Failure
1672,No Failure
1673,No Failure
1674,No Failure
1675,No Failure
1676,No Failure
1677,No Failure
1678,No Failure
1679,No Failure
1680,No Failure
1681,No Failure
1682,No Failure
1683,No Failure
1684,No Failure
1685,No Failure
1686,No Failure
1687,No Failure
1688,No Failure
1689,No Failure
1690,No Failure
1691,No Failure
1692,No Failure
1693,No Failure
1694,No Failure
1695,No Failure
1696,No Failure
1697,No Failure
1698,No Failure
1699,No Failure
1700,No Failure
1701,No Failure
1702,No Failure
1703,No Failure
1704,No Failure
1705,Power Failure
1706,No Failure
1707,No Failure
1708,No Failure
1709,No Failure
1710,No Failure
1711,No Failure
1712,No Failure
1713,No Failure
1714,No Failure
1715,No Failure
1716,No Failure
1717,No Failure
1718,No Failure
1719,No Failure
1720,No Failure
1721,No Failure
1722,No Failure
1723,No Failure
1724,No Failure
1725,No Failure
1726,No Failure
1727,No Failure
1728,No Failure
1729,No Failure
1730,No Failure
1731,No Failure
1732,No Failure
1733,No Failure
1734,No Failure
1735,No Failure
1736,No Failure
1737,No Failure
1738,No Failure
1739,No Failure
1740,No Failure
1741,No Failure
1742,No Failure
1743,No Failure
1744,No Failure
1745,No Failure
1746,No Failure
1747,No Failure
1748,No Failure
1749,No Failure
1750,No Failure
1751,No Failure
1752,No Failure
1753,No Failure
1754,No Failure
1755,No Failure
1756,No Failure
1757,No Failure
1758,No Failure
1759,No Failure
1760,No Failure
1761,No Failure
1762,No Failure
1763,No Failure
1764,No Failure
1765,No Failure
1766,No Failure
1767,No Failure
1768,No Failure
1769,No Failure
1770,No Failure
1771,No Failure
1772,No Failure
1773,No Failure
1774,No Failure
1775,No Failure
1776,No Failure
1777,No Failure
1778,No Failure
1779,No Failure
1780,No Failure
1781,No Failure
1782,No Failure
1783,No Failure
1784,No Failure
1785,No Failure
1786,No Failure
1787,No Failure
1788,No Failure
1789,No Failure
1790,No Failure
1791,No Failure
1792,Heat Dissipation Failure
1793,No Failure
1794,Heat Dissipation Failure
1795,No Failure
1796,No Failure
1797,No Failure
1798,No Failure
1799,No Failure
1800,No Failure
1801,No Failure
1802,No Failure
1803,No Failure
1804,No Failure
1805,No Failure
1806,No Failure
1807,No Failure
1808,No Failure
1809,No Failure
1810,No Failure
1811,No Failure
1812,No Failure
1813,No Failure
1814,No Failure
1815,No Failure
1816,No Failure
1817,No Failure
1818,No Failure
1819,No Failure
1820,No Failure
1821,No Failure
1822,No Failure
1823,No Failure
1824,No Failure
1825,No Failure
1826,No Failure
1827,No Failure
1828,No Failure
1829,No Failure
1830,No Failure
1831,No Failure
